
Nr., CODE, ENDGÜLTIGE BEZEICHNUNGEN DER MEDIZINISCHEN LEISTUNGEN
4765,X675199,ΧΟΛΟΚΥΣΤΕΚΤΟΜΗ ΜΕ ΔΙΕΡΕΥΝΗΣΗ ΤΟΥ ΚΟΙΝΟΥ ΠΟΡΟΥ ΜΕ ΔΙΑΔΩΔΕΚΑΔΑΚΤΥΛΙΚΗ ΣΦΙΓΚΤΗΡΟΤΟΜΗ Ή ΣΦΙΓΚΤΗΡΟΠΛΑΣΤΙΚΗ ΜΕ Ή ΧΩΡΙΣ ΧΟΛΑΓΓΕΙΟΓΡΑΦΙΑ
4766,X675219,ΕΞΑΓΩΓΗ ΛΙΘΟΥ ΧΟΛΗΦΟΡΟΥ ΠΟΡΟΥ ΔΙΑΔΕΡΜΙΚΗ ΜΕΣΩ ΤΟΥ ΑΥΛΟΥ ΣΩΛΗΝΑ Τ ΚΑΘΕΤΗΡΑ ΜΕ ΣΥΛΛΕΚΤΗ Ή ΒΡΟΧΟΥ (Π.Χ. ΤΕΧΝΙΚΗ BURHENNE)
4767,X675359,ΔΙΕΡΕΥΝΗΣΗ ΓΙΑ ΣΥΓΓΕΝΗ ΑΤΡΗΣΙΑ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕ Ή ΧΩΡΙΣ ΒΙΟΨΙΑ ΗΠΑΤΟΣ ΜΕ Ή ΧΩΡΙΣ ΧΟΛΑΓΓΕΙΟΓΡΑΦΙΑ
4768,X675361,ΠΟΡΤΟΕΝΤΕΡΟΣΤΟΜΙΑ (Π.Χ. ΔΙΑΔΙΚΑΣΙΑ KASAI)
4769,X675381,ΕΚΤΟΜΗ ΟΓΚΟΥ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΜΕ Ή ΧΩΡΙΣ ΠΡΩΤΕΥΟΥΣΑ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΟΥ ΧΟΛΗΦΟΡΟΥ ΠΟΡΟΥ ΕΞΩΗΠΑΤΙΚΗ
4770,X675383,ΕΚΤΟΜΗ ΟΓΚΟΥ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΜΕ Ή ΧΩΡΙΣ ΠΡΩΤΕΥΟΥΣΑ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΟΥ ΧΟΛΗΦΟΡΟΥ ΠΟΡΟΥ ΕΝΔΟΗΠΑΤΙΚΗ
4771,X675389,ΕΚΤΟΜΗ ΧΟΛΗΔΟΧΟΥ ΚΥΣΤΗΣ
4772,X675399,ΧΟΛΟΚΥΣΤΕΝΤΕΡΟΣΤΟΜΙΑ ΑΜΕΣΗ
4773,X675401,ΧΟΛΟΚΥΣΤΕΝΤΕΡΟΣΤΟΜΙΑ ΜΕ ΓΑΣΤΡΕΝΤΕΡΟΣΤΟΜΙΑ
4774,X675439,ΧΟΛΟΚΥΣΤΕΝΤΕΡΟΣΤΟΜΙΑ ΤΥΠΟΥ ROUX-EN-Y
4775,X675441,ΧΟΛΟΚΥΣΤΕΝΤΕΡΟΣΤΟΜΙΑ ΤΥΠΟΥ ROUX-EN-Y ΜΕ ΓΑΣΤΡΕΝΤΕΡΟΣΤΟΜΙΑ
4776,X675479,ΑΝΑΣΤΟΜΩΣΗ ΕΞΩΗΠΑΤΙΚΩΝ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΚΑΙ ΓΑΣΤΡΕΝΤΕΡΙΚΗΣ ΟΔΟΥ
4777,X675489,ΑΝΑΣΤΟΜΩΣΗ ΕΝΔΟΗΠΑΤΙΚΩΝ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΚΑΙ ΓΑΣΤΡΕΝΤΕΡΙΚΗΣ ΟΔΟΥ
4778,X675519,ΑΝΑΣΤΟΜΩΣΗ ΤΥΠΟΥ ROUX-EN-Y ΕΞΩΗΠΑΤΙΚΩΝ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΚΑΙ ΓΑΣΤΡΕΝΤΕΡΙΚΗΣ ΟΔΟΥ
4779,X675529,ΑΝΑΣΤΟΜΩΣΗ ΤΥΠΟΥ ROUX-EN-Y ΕΝΔΟΗΠΑΤΙΚΩΝ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΚΑΙ ΓΑΣΤΡΕΝΤΕΡΙΚΗΣ ΟΔΟΥ
4780,X675559,ΑΝΑΚΑΤΑΣΚΕΥΗ ΠΛΑΣΤΙΚΗ ΕΞΩΗΠΑΤΙΚΩΝ ΧΟΛΗΦΟΡΩΝ ΠΟΡΩΝ ΜΕ ΤΕΛΙΚΟ-ΤΕΛΙΚΗ ΑΝΑΣΤΟΜΩΣΗ
4781,X675561,ΤΟΠΟΘΕΤΗΣΗ ΣΤΕΝΤ ΧΟΛΗΔΟΧΟΥ
4782,X675563,ΗΠΑΤΙΚΟΕΝΤΕΡΟΣΤΟΜΙΑ ΤΥΠΟΥ ΣΩΛΗΝΑ-U
4783,X675759,ΣΥΡΡΑΦΗ ΕΞΩΗΠΑΤΙΚΟΥ ΧΟΛΗΦΟΡΟΥ ΠΟΡΟΥ ΓΙΑ ΠΡΟΓΕΝΕΣΤΕΡΟ ΤΡΑΥΜΑΤΙΣΜΟ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4784,X675957,ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ ΧΟΛΗΦΟΡΟΣ ΠΟΡΟΣ
4785,X675959,ΤΟΠΟΘΕΤΗΣΗ  ΠΑΡΟΧΕΤΕΥΣEΩΝ ΠΕΡΙΠΑΓΚΡΕΑΤΙΚΗ ΓΙΑ ΟΞΕΙΑ ΠΑΓΚΡΕΑΤΙΤΙΔΑ
4786,X675961,ΤΟΠΟΘΕΤΗΣΗ  ΠΑΡΟΧΕΤΕΥΣΕΩΝ ΠΕΡΙΠΑΓΚΡΕΑΤΙΚΗ ΓΙΑ ΟΞΕΙΑ ΠΑΓΚΡΕΑΤΙΤΙΔΑ ΜΕ ΧΟΛΟΚΥΣΤΕΚΤΟΜΗ ΓΑΣΤΡΟΣΤΟΜΙΑ ΚΑΙ ΝΗΣΤΙΔΟΣΤΟΜΙΑ
4787,X675999,ΑΦΑΙΡΕΣΗ ΠΑΓΚΡΕΑΤΙΚΟΥ ΛΙΘΟΥ
4788,X676159,ΒΙΟΨΙΑ ΠΑΓΚΡΕΑΤΟΣ ΑΝΟΙΚΤΗ (Π.Χ. ΑΝΑΡΡΟΦΗΣΗ ΜΕ ΛΕΠΤΗ ΒΕΛΟΝΗ ΒΙΟΨΙΑ ΜΕ ΚΟΠΤΟΥΣΑ ΒΕΛΟΝΗ ΣΦΗΝΟΕΙΔΗΣ ΒΙΟΨΙΑ)
4789,X676163,ΒΙΟΨΙΑ ΠΑΓΚΡΕΑΤΟΣ ΔΙΑΔΕΡΜΙΚΗ ΒΕΛΟΝΗ
4790,X676169,ΕΚΤΟΜΗ Ή ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ ΠΑΓΚΡΕΑΤΟΣ ΚΑΙ ΠΕΡΙΠΑΓΚΡΕΑΤΙΚΟΥ ΙΣΤΟΥ ΓΙΑ ΟΞΕΙΑ  ΝΕΚΡΩΤΙΚΗ ΠΑΓΚΡΕΑΤΙΤΙΔΑ
4791,X676199,ΕΚΤΟΜΗ ΒΛΑΒΗΣ ΠΑΓΚΡΕΑΤΟΣ (Π.Χ. ΚΥΣΤΗ ΑΔΕΝΩΜΑ)
4792,X676239,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΠΕΡΙΦΕΡΙΚΗ ΥΦΟΛΙΚΗ ΜΕ Ή ΧΩΡΙΣ ΣΠΛΗΝΕΚΤΟΜΗ ΧΩΡΙΣ ΠΑΓΚΡΕΑΤΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑ
4793,X676249,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΠΕΡΙΦΕΡΙΚΗ ΥΦΟΛΙΚΗ ΜΕ Ή ΧΩΡΙΣ ΣΠΛΗΝΕΚΤΟΜΗ ΜΕ ΠΑΓΚΡΕΑΤΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑ
4794,X676251,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΠΕΡΙΦΕΡΙΚΗ ΣΧΕΔΟΝ ΟΛΙΚΗ ΜΕ ΔΙΑΤΗΡΗΣΗ ΤΟΥ ΔΩΔΕΚΑΔΑΚΤΥΛΟΥ (ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ CHILD)
4795,X676255,ΕΚΤΟΜΗ ΦΥΜΑΤΟΣ ΤΟΥ VATER
4796,X676259,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΕΓΓΥΣ ΥΦΟΛΙΚΗ ΜΕ ΟΛΙΚΗ ΔΩΔΕΚΑΔΑΚΤΥΛΕΚΤΟΜΗ ΜΕΡΙΚΗ ΓΑΣΤΡΕΚΤΟΜΗ ΧΟΛΗΔΟΧΟ-ΕΝΤΕΡΟΣΤΟΜΙΑ ΚΑΙ ΓΑΣΤΡΟΝΗΣΤΙΔΟΣΤΟΜΙΑ (ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ WHIPPLE) ΜΕ ΠΑΓΚΡΕΑΤΟΝΗΣΤΙΔΟΣΤΟΜΙΑ
4797,X676263,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΕΓΓΥΣ ΥΦΟΛΙΚΗ ΜΕ ΟΛΙΚΗ ΔΩΔΕΚΑΔΑΚΤΥΛΕΚΤΟΜΗ ΜΕΡΙΚΗ ΓΑΣΤΡΕΚΤΟΜΗ ΧΟΛΗΔΟΧΟ-ΕΝΤΕΡΟΣΤΟΜΙΑ ΚΑΙ ΓΑΣΤΡΟΝΗΣΤΙΔΟΣΤΟΜΙΑ (ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ WHIPPLE) ΧΩΡΙΣ ΠΑΓΚΡΕΑΤΟΝΗΣΤΙΔΟΣΤΟΜΙΑ
4798,X676265,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΕΓΓΥΣ ΥΦΟΛΙΚΗ ΜΕ ΣΧΕΔΟΝ ΟΛΙΚΗ ΔΩΔΕΚΑΔΑΚΤΥΛΕΚΤΟΜΗ  ΧΟΛΗΔΟΧΟ-ΕΝΤΕΡΟΣΤΟΜΙΑ ΚΑΙ ΔΩΔΕΚΑΔΑΚΤΥΛΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑ (ΜΕ ΔΙΑΤΗΡΗΣΗ ΤΟΥ ΠΥΛΩΡΟΥ ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ WHIPPLE) ΜΕ ΠΑΓΚΡΕΑΤΟΝΗΣΤΙΔΟΣΤΟΜΙΑ
4799,X676267,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΕΓΓΥΣ ΥΦΟΛΙΚΗ ΜΕ ΣΧΕΔΟΝ ΟΛΙΚΗ ΔΩΔΕΚΑΔΑΚΤΥΛΕΚΤΟΜΗ  ΧΟΛΗΔΟΧΟ-ΕΝΤΕΡΟΣΤΟΜΙΑ ΚΑΙ ΔΩΔΕΚΑΔΑΚΤΥΛΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑ (ΜΕ ΔΙΑΤΗΡΗΣΗ ΤΟΥ ΠΥΛΩΡΟΥ ΔΙΑΔΙΚΑΣΙΑ ΤΥΠΟΥ WHIPPLE) ΧΩΡΙΣ ΠΑΓΚΡΕΑΤΟΝΗΣΤΙΔΟΣΤΟΜΙΑ
4800,X676269,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΟΛΙΚΗ
4801,X676279,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΟΛΙΚΗ Ή ΥΦΟΛΙΚΗ ΜΕ ΑΥΤΟΛΟΓΗ ΜΕΤΑΜΟΣΧΕΥΣΗ ΠΑΓΚΡΕΑΤΟΣ Ή ΚΥΤΤΑΡΩΝ ΝΗΣΙΔΙΩΝ ΤΟΥ ΠΑΓΚΡΕΑΤΟΣ
4802,X676759,ΔΙΑΔΙΚΑΣΙΑ ΕΓΧΥΣΗΣ ΓΙΑ ΔΙΕΓΧΕΙΡΗΤΙΚΗ ΠΑΓΚΡΕΑΤΟΓΡΑΦΙΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΗΣ ΚΩΔΙΚΟΠΟΙΗΣΗΣ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
4803,X676959,ΜΑΡΣΙΠΟΠΟΙΗΣΗ ΑΓΚΡΕΑΤΙΚΗΣ ΚΥΣΤΗΣ
4804,X676979,ΕΞΩΤΕΡΙΚΗ ΠΑΡΟΧΕΤΕΥΣΗ ΨΕΥΔΟΚΥΣΤΗ ΠΑΓΚΡΕΑΤΟΣ ΑΝΟΙΚΤΗ
4805,X676981,ΕΞΩΤΕΡΙΚΗ ΠΑΡΟΧΕΤΕΥΣΗ ΨΕΥΔΟΚΥΣΤΗ ΠΑΓΚΡΕΑΤΟΣ ΔΙΑΔΕΡΜΙΚΗ
4806,X676999,ΕΣΩΤΕΡΙΚΗ ΑΝΑΣΤΟΜΩΣΗ ΠΑΓΚΡΕΑΤΙΚΗΣ ΚΥΣΤΕΩΣ ΜΕ ΤΗΝ ΓΑΣΤΡΕΝΤΕΡΙΚΗ ΟΔΟ ΑΜΕΣΗ
4807,X677039,ΕΣΩΤΕΡΙΚΗ ΑΝΑΣΤΟΜΩΣΗ ΠΑΓΚΡΕΑΤΙΚΗΣ ΚΥΣΤΕΩΣ ΜΕ ΤΗΝ ΓΑΣΤΡΕΝΤΕΡΙΚΗ ΟΔΟ ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ ROUX-EN-Y
4808,X677049,ΠΑΓΚΡΕΑΤΟΡΡΑΦΗ ΓΙΑ ΤΡΑΥΜΑΤΙΣΜΟ
4809,X677053,ΔΩΔΕΚΑΔΑΚΤΥΛΙΚΟΣ ΑΠΟΚΛΕΙΣΜΟΣ ΜΕ ΓΑΣΤΡΟΝΗΣΤΙΔΟΣΤΟΜΙΑ ΓΙΑ ΠΑΓΚΡΕΑΤΙΚΟ ΤΡΑΥΜΑΤΙΣΜΟ
4810,X677055,ΠΑΓΚΡΕΑΤΙΚΟ-ΝΗΣΤΙΔΟΣΤΟΜΙΑ ΠΛΑΓΙΟΠΛΑΓΙΑ ΑΝΑΣΤΟΜΩΣΗ (ΕΠΕΜΒΑΣΗ ΤΥΠΟΥ  PUESTOW)
4811,X677059,ΠΑΓΚΡΕΑΤΕΚΤΟΜΗ ΔΟΤΗ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΚΡΥΟΣΥΝΤΗΡΗΣΗΣ) ΜΕ Ή ΧΩΡΙΣ ΔΩΔΕΚΑΔΑΚΤΥΛΙΚΟ ΤΜΗΜΑ ΓΙΑ ΜΕΤΑΜΟΣΧΕΥΣΗ
4812,X677061,ΤΥΠΙΚΗ ΠΡΟΕΤΟΙΜΑΣΙΑ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΠΑΓΚΡΕΑΤΟΣ ΑΠΟ ΠΤΩΜΑΤΙΚΟ ΔΟΤΗ ΠΡΙΝ ΑΠΟ ΤΗ ΜΕΤΑΜΟΣΧΕΥΣΗ ΠΟΥ ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΚΤΟΜΗ ΤΟΥ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΟΥΣ ΠΕΡΙΒΑΛΛΟΝΤΕΣ ΜΑΛΑΚΟΥΣ ΙΣΤΟΥΣ ΣΠΛΗΝΕΚΤΟΜΗ ΔΩΔΕΚΑΔΑΚΤΥΛΕΚΤΟΜΗ ΑΠΟΛΙΝΩΣΗ ΤΟΥ ΧΟΛΗΔΟΧΟΥ ΠΟΡΟΥ ΑΠΟΛΙΝΩΣΗ ΤΩΝ ΜΕΣΕΝΤΕΡΙΩΝ ΑΓΓΕΙΩΝ ΚΑΙ ΑΝΑΣΤΟΜΩΣΕΙΣ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ ΣΧΗΜΑΤΟΣ Υ ΑΠΟ ΤΗΝ ΕΙΛΕΪΚΗ  ΑΡΤΗΡΙΑ ΩΣ ΤΗΝ ΑΝΩ ΜΕΣΕΝΤΕΡΙΑ  ΑΡΤΗΡΙΑ ΚΑΙ ΤΗ ΣΠΛΗΝΙΚΗ ΑΡΤΗΡΙΑ
4813,X677063,ΑΝΑΚΑΤΑΣΚΕΥΗ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ ΠΑΓΚΡΕΑΤΟΣ ΑΠΟ ΠΤΩΜΑΤΙΚΟ ΔΟΤΗ ΠΡΙΝ ΑΠΟ ΤΗ ΜΕΤΑΜΟΣΧΕΥΣΗ ΦΛΕΒΙΚΗ ΑΝΑΣΤΟΜΩΣΗ ΚΑΘΕ ΜΙΑ
4814,X677067,ΜΕΤΑΜΟΣΧΕΥΣΗ ΠΑΓΚΡΕΑΤΙΚΟΥ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ
4815,X677071,ΑΦΑΙΡΕΣΗ ΜΕΤΑΜΟΣΧΕΥΜΕΝΟΥ ΠΑΓΚΡΕΑΤΙΚΟΥ ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ
4816,X677957,ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ ΠΑΓΚΡΕΑΣ
Β.21,ΠΕΡΙΟΧΗ ΚΟΙΛΙΑΚΟΥ ΤΟΙΧΩΜΑΤΟΣ – ΠΕΡΙΤΟΝΑΙΟΥ,
4817,X677959,ΔΙΕΡΕΥΝΗΤΙΚΗ ΛΑΠΑΡΟΤΟΜΙΑ ΔΙΕΡΕΥΝΗΤΙΚΗ ΚΟΙΛΙΑΚΗ ΤΟΜΗ ΜΕ Ή ΧΩΡΙΣ ΒΙΟΨΙΑ(ΕΣ) (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4818,X677963,ΕΠΑΝΕΠΕΜΒΑΣΗ ΜΕΤΑ ΠΡΟΣΦΑΤΗ ΛΑΠΑΡΟΤΟΜΙΑ
4819,X677979,ΔΙΕΡΕΥΝΗΣΗ ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΗ ΠΕΡΙΟΧΗ ΜΕ Ή ΧΩΡΙΣ ΒΙΟΨΙΑ(ΕΣ) (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4820,X677999,ΠΑΡΟΧΕΤΕΥΣΗ ΠΕΡΙΤΟΝΑΪΚΟΥ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΤΟΠΙΚΗΣ ΠΕΡΙΤΟΝΙΤΙΔΟΣ ΕΚΤΟΣ ΑΠΟΣΤΗΜΑΤΟΣ ΣΚΩΛΗΚΟΕΙΔΟΥΣ ΑΝΟΙΚΤΗ
4821,X678001,ΠΑΡΟΧΕΤΕΥΣΗ ΠΕΡΙΤΟΝΑΪΚΟΥ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΤΟΠΙΚΗΣ ΠΕΡΙΤΟΝΙΤΙΔΟΣ ΕΚΤΟΣ ΑΠΟΣΤΗΜΑΤΟΣ ΣΚΩΛΗΚΟΕΙΔΟΥΣ ΔΙΑΔΕΡΜΙΚΗ
4822,X678039,ΠΑΡΟΧΕΤΕΥΣΗ ΥΠΟΔΙΑΦΡΑΓΜΑΤΙΚΟΥ Ή ΥΠΟΦΡΕΝΙΚΟΥ ΑΠΟΣΤΗΜΑΤΟΣ ΑΝΟΙΚΤΗ
4823,X678041,ΠΑΡΟΧΕΤΕΥΣΗ ΥΠΟΔΙΑΦΡΑΓΜΑΤΙΚΟΥ Ή ΥΠΟΦΡΕΝΙΚΟΥ ΑΠΟΣΤΗΜΑΤΟΣ ΔΙΑΔΕΡΜΙΚΗ
4824,X678079,ΠΑΡΟΧΕΤΕΥΣΗ ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΟΥ ΑΠΟΣΤΗΜΑΤΟΣ ΑΝΟΙΚΤΗ
4825,X678081,ΠΑΡΟΧΕΤΕΥΣΗ ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΟΥ ΑΠΟΣΤΗΜΑΤΟΣ ΔΙΑΔΕΡΜΙΚΗ
4826,X678083,ΠΑΡΟΧΕΤΕΥΣΗ ΕΞΩΠΕΡΙΤΟΝΑΪΚΗΣ ΛΕΜΦΟΚΗΛΗΣ ΣΤΗΝ ΠΕΡΙΤΟΝΑΪΚΗ ΚΟΙΛΟΤΗΤΑ ΑΝΟΙΚΤΗ
4827,X678119,ΠΕΡΙΤΟΝΑΪΚΗ ΠΑΡΑΚΕΝΤΗΣΗ ΚΟΙΛΙΑΚΗ ΠΑΡΑΚΕΝΤΗΣΗ Ή ΠΕΡΙΤΟΝΑΪΚΗ ΕΚΠΛΥΣΗ (ΔΙΑΓΝΩΣΤΙΚΗ Ή ΘΕΡΑΠΕΥΤΙΚΗ) ΑΡΧΙΚΗ
4828,X678121,ΠΕΡΙΤΟΝΑΪΚΗ ΠΑΡΑΚΕΝΤΗΣΗ ΚΟΙΛΙΑΚΗ ΠΑΡΑΚΕΝΤΗΣΗ Ή ΠΕΡΙΤΟΝΑΪΚΗ ΕΚΠΛΥΣΗ (ΔΙΑΓΝΩΣΤΙΚΗ Ή ΘΕΡΑΠΕΥΤΙΚΗ) ΚΑΘΕ ΕΠΟΜΕΝΗ
4829,X678319,ΒΙΟΨΙΑ ΚΟΙΛΙΑΚΗΣ Ή ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΗΣ ΜΑΖΑΣ ΔΙΑΔΕΡΜΙΚΗ ΒΕΛΟΝΑ
4830,X678365,ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ ΑΝΟΙΚΤΗ ΕΝΔΟΚΟΙΛΙΑΚΟΙ ΟΓΚΟΙ ΚΥΣΤΕΙΣ Ή  ΕΣΤΙΕΣ ΕΝΔΟΜΗΤΡΙΩΣΗΣ 1 Ή ΠΕΡΙΣΣΟΤΕΡΟΙ ΠΕΡΙΤΟΝΑΪΚΟΙ ΜΕΣΕΝΤΕΡΙΚΟΙ Ή ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΟΙ  ΠΡΩΤΟΠΑΘΕΙΣ Ή ΔΕΥΤΕΡΟΠΑΘΕΙΣ ΟΓΚΟΙ ΜΕ ΔΙΑΜΕΤΡΟ ΜΕΓΑΛΥΤΕΡΟΥ ΟΓΚΟΥ  5CM Ή ΜΙΚΡΟΤΕΡΟ
4831,X678367,ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ ΑΝΟΙΚΤΗ ΕΝΔΟΚΟΙΛΙΑΚΟΙ ΟΓΚΟΙ ΚΥΣΤΕΙΣ Ή  ΚΥΣΤΕΣ ΕΝΔΟΜΗΤΡΙΩΣΗΣ 1 Ή ΠΕΡΙΣΣΟΤΕΡΟΙ ΠΕΡΙΤΟΝΑΪΚΟΙ ΜΕΣΕΝΤΕΡΙΚΟΙ Ή ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΟΙ  ΠΡΩΤΟΠΑΘΕΙΣ Ή ΔΕΥΤΕΡΟΠΑΘΕΙΣ ΟΓΚΟΙ ΜΕ ΔΙΑΜΕΤΡΟ ΜΕΓΑΛΥΤΕΡΟΥ ΟΓΚΟΥ 51-100 CM
4832,X678369,ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ ΑΝΟΙΚΤΗ ΕΝΔΟΚΟΙΛΙΑΚΟΙ ΟΓΚΟΙ ΚΥΣΤΕΙΣ Ή  ΚΥΣΤΕΣ ΕΝΔΟΜΗΤΡΙΩΣΗΣ 1 Ή ΠΕΡΙΣΣΟΤΕΡΟΙ ΠΕΡΙΤΟΝΑΪΚΟΙ ΜΕΣΕΝΤΕΡΙΚΟΙ Ή ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΟΙ  ΠΡΩΤΟΠΑΘΕΙΣ Ή ΔΕΥΤΕΡΟΠΑΘΕΙΣ ΟΓΚΟΙ ΜΕ ΔΙΑΜΕΤΡΟ ΜΕΓΑΛΥΤΕΡΟΥ ΟΓΚΟΥ ΜΕΓΑΛΥΤΕΡΗ ΑΠΟ 100 CM
4833,X678389,ΕΚΤΟΜΗ ΠΡΟΪΕΡΟΥ  Ή ΙΕΡΟΥΚΟΚΚΥΓΙΚΟΥ ΟΓΚΟΥ
4834,X678399,ΛΑΠΑΡΟΤΟΜΙΑ ΣΤΑΔΙΟΠΟΙΗΣΗΣ ΣΕ ΝΟΣΟ HODGKINS Ή ΛΕΜΦΩΜΑ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΣΠΛΗΝΕΚΤΟΜΗ ΑΝΟΙΚΤΕΣ Ή ΔΙΑ ΒΕΛΟΝΗΣ ΒΙΟΨΙΕΣ ΚΑΙ ΣΤΟΥΣ ΔΥΟ ΗΠΑΤΙΚΟΥΣ ΛΟΒΟΥΣ ΚΑΘΩΣ ΚΑΙ ΠΙΘΑΝΗ ΑΦΑΙΡΕΣΗ ΚΟΙΛΙΑΚΩΝ ΛΕΜΦΑΔΕΝΩΝ ΒΙΟΨΙΕΣ ΚΟΙΛΙΑΚΩΝ ΛΕΜΦΑΔΕΝΩΝ ΚΑΙ/Ή ΜΥΕΛΟΥ ΤΩΝ ΟΣΤΩΝ ΩΟΘΗΚΙΚΗ ΕΠΑΝΑΤΟΠΟΘΕΤΗΣΗ)
4835,X678459,ΟΜΦΑΛΕΚΤΟΜΗ ΕΚΤΟΜΗ ΤΟΥ ΟΜΦΑΛΟΥ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4836,X678469,ΕΠΙΠΛΟΕΚΤΟΜΗ ΕΚΤΟΜΗ ΕΠΙΠΛΟΟΥ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4837,X678599,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΚΟΙΛΙΑ ΠΕΡΙΤΟΝΑΙΟ ΚΑΙ ΕΠΙΠΛΟΥΝ ΔΙΑΓΝΩΣΤΙΚΗ ΜΕ Ή ΧΩΡΙΣ ΣΥΛΛΟΓΗ ΔΕΙΓΜΑΤΟΣ(ΩΝ) ΜΕ ΒΟΥΡΤΣΙΣΜΑ Ή ΕΚΠΛΥΣΗ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
4838,X678601,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ ΒΙΟΨΙΑ (ΜΙΑ Ή ΠΟΛΛΑΠΛΕΣ)
4839,X678603,ΛΑΠΑΡΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΜΕ ΑΝΑΡΡΟΦΗΣΗ ΚΟΙΛΟΤΗΤΑΣ Ή ΚΥΣΤΗΣ (Π.Χ. ΩΟΘΗΚΙΚΗ ΚΥΣΤΗ) (ΜΙΑ Ή ΠΟΛΛΑΠΛΕΣ)
