+----------------------------------------------------+------------+------------+------------+--------------+-------------+
| department                                         | shift_date | shift_type | staff_type | sub_category | staff_count |
| Πνευμονολογική Κλινική                             | 2025-01-18 | Night      | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-18 | Afternoon  | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-18 | Afternoon  | admin      | Receptionist |           2 |
| Χειρουργική Κλινική                                | 2025-01-18 | Morning    | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-18 | Morning    | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-18 | Morning    | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-18 | Night      | admin      | HR Officer   |           2 |
| Ψυχιατρική Κλινική                                 | 2025-01-18 | Night      | admin      | Accountant   |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-18 | Night      | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-19 | Afternoon  | admin      | Accountant   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-19 | Afternoon  | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-19 | Afternoon  | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-19 | Night      | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-19 | Night      | admin      | Logistics    |           2 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Afternoon  | admin      | Accountant   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Afternoon  | admin      | IT Support   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Morning    | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Morning    | admin      | Receptionist |           2 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Night      | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-19 | Night      | admin      | IT Support   |           1 |
| Νευρολογική Κλινική                                | 2025-01-19 | Afternoon  | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-19 | Afternoon  | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-19 | Morning    | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-19 | Morning    | admin      | Receptionist |           1 |
| Νευρολογική Κλινική                                | 2025-01-19 | Night      | admin      | HR Officer   |           2 |
| Νευρολογική Κλινική                                | 2025-01-19 | Night      | admin      | Receptionist |           1 |
| Νεφρολογική Κλινική                                | 2025-01-19 | Afternoon  | admin      | HR Officer   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-19 | Afternoon  | admin      | Secretary    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-19 | Night      | admin      | Receptionist |           2 |
| Ογκολογική Κλινική                                 | 2025-01-19 | Afternoon  | admin      | Logistics    |           2 |
| Ογκολογική Κλινική                                 | 2025-01-19 | Morning    | admin      | IT Support   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-19 | Morning    | admin      | Logistics    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-19 | Night      | admin      | HR Officer   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-19 | Night      | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-19 | Afternoon  | admin      | Receptionist |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-19 | Morning    | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-19 | Morning    | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-19 | Night      | admin      | Accountant   |           2 |
| Ουρολογική Κλινική                                 | 2025-01-19 | Night      | admin      | Accountant   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-19 | Night      | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-19 | Afternoon  | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-19 | Afternoon  | admin      | IT Support   |           1 |
| Παθολογική Κλινική                                 | 2025-01-19 | Morning    | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-19 | Morning    | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-19 | Night      | admin      | Accountant   |           2 |
| Παθολογική Κλινική                                 | 2025-01-19 | Night      | admin      | Secretary    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Afternoon  | admin      | Accountant   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Afternoon  | admin      | Receptionist |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Morning    | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Morning    | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Night      | admin      | Accountant   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Night      | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-19 | Night      | admin      | Logistics    |           1 |
| Χειρουργική Κλινική                                | 2025-01-19 | Afternoon  | admin      | Logistics    |           2 |
| Χειρουργική Κλινική                                | 2025-01-19 | Morning    | admin      | Accountant   |           2 |
| Χειρουργική Κλινική                                | 2025-01-19 | Morning    | admin      | Logistics    |           1 |
| Χειρουργική Κλινική                                | 2025-01-19 | Night      | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-19 | Night      | admin      | Logistics    |           1 |
+----------------------------------------------------+------------+------------+------------+--------------+-------------+
647 rows in set (0.018 sec)
